date,Cases,Deaths,Cases_hw_tes_mul-mul,Cases_predict_hw_tes_mul,Cases_hw_tes_add-add,Cases_predict_hw_tes_add,Deaths_hw_tes_mul,Deaths_predict_hw_tes_mul,Deaths_hw_tes_add,Deaths_predict_hw_tes_add,Cases_predict_ar,Deaths_predict_ar
2020-03-12,1.0,0.0,109.33558195800187,,-24.547872120308966,,,,0.28836633366847764,,,
2020-03-13,5.0,0.0,97.60127025425928,,-27.515920241605272,,,,-0.3427953976813569,,,
2020-03-14,6.0,0.0,82.50855227766179,,12.45635176045107,,,,1.3030929511189697,,,
2020-03-15,18.0,0.0,66.091397895652,,61.87474399154962,,,,2.7816038281409874,,,
2020-03-16,47.0,0.0,54.01743288741365,,142.08281357635133,,,,3.920130958945947,,,
2020-03-17,98.0,1.0,51.592843284531746,,222.5216494756969,,683.9912567322647,,5.555300229235968,,,
2020-03-18,191.0,2.0,65.59941458350934,,335.617499173306,,0.5221871823821794,,7.987470988720588,,,
2020-03-19,359.0,4.0,111.61794846914664,,525.3631852889448,,0.486453130822898,,10.449427885101613,,,
2020-03-20,670.0,9.0,221.71750049626175,,853.6228799096498,,17.420053834975437,,16.08563855062107,,,
2020-03-21,947.0,21.0,468.47557163352735,,1165.584745109918,,34.35188052475767,,28.598469320088498,,,
2020-03-22,1236.0,30.0,850.1458110084246,,1490.194496536118,,37.14501424954674,,37.311524838058176,,,
2020-03-23,1529.0,37.0,1366.0090041138676,,1806.5959274575434,,36.796410973535174,,44.11798432619571,,,
2020-03-24,1872.0,44.0,2003.3675286297325,,2163.071303354038,,43.05586024226963,,51.06051670831721,,,
2020-03-25,2433.0,59.0,2701.626384757337,,2710.9627495021123,,58.69953973631591,,66.07980872777239,,,
2020-03-26,3629.0,75.0,3509.9409263058274,,3911.811172794347,,75.03706212406738,,82.69603591271402,,,
2020-03-27,5698.0,92.0,4632.73955186457,,5990.3336166156805,,92.05157690547229,,99.83875428223541,,,
2020-03-28,7402.0,108.0,6386.604089782129,,7713.919733741321,,108.0115252775291,,116.32212671798607,,,
2020-03-29,9217.0,131.0,8523.036143369758,,9556.377615498859,,130.99780617403638,,139.23614215099406,,,
2020-03-30,10827.0,168.0,10989.434446380506,,11173.692199111145,,167.99796058094796,,175.8808564612118,,,
2020-03-31,13531.0,214.0,13608.407445866447,,13857.098103738725,,213.99960130065085,,221.90120513209058,,,
2020-04-01,15679.0,277.0,16531.348349476786,,15991.052766027467,,277.00012966829513,,284.72540587964613,,,
2020-04-02,18135.0,356.0,19544.08091187349,,18400.492082833734,,356.00009265211816,,363.2921948946314,,,
2020-04-03,20921.0,425.0,22536.401896250543,,21166.5476122009,,425.00001031402763,,432.11747972364446,,,
2020-04-04,23934.0,501.0,25579.876609583353,,24157.577356265378,,500.99999023578374,,507.70306230129313,,,
2020-04-05,27069.0,574.0,28888.777916329516,,27286.593738030824,,573.9999967177176,,579.8496929556272,,,
2020-04-06,30217.0,649.0,31945.616251415366,,30437.1033311512,,649.0000030062628,,654.7993328722653,,,
2020-04-07,34109.0,725.0,35023.90454806615,,34332.57149236267,,725.0000039909982,,730.6583175367819,,,
2020-04-08,38226.0,812.0,38383.526728194185,,38461.96209192407,,812.0000063905192,,817.5504484082433,,,
2020-04-09,42282.0,908.0,42115.329333773894,,42531.13961216383,,908.0000061378986,,914.0411777862159,,,
2020-04-10,47029.0,1006.0,45777.400963716354,,47301.946660074995,,1006.0000042228307,,1012.1118182301577,,,
2020-04-11,52167.0,1101.0,49751.29060086626,,52443.08144162681,,1101.0000028474076,,1107.597420108294,,,
2020-04-12,56956.0,1198.0,54306.22414585532,,57215.05160015243,,1198.0000035688536,,1204.753058965396,,,
2020-04-13,61049.0,1296.0,58838.20008906514,,61275.28035163965,,1296.0000036503684,,1303.1981240748382,,,
2020-04-14,65111.0,1403.0,63526.70443504411,,65288.63529763304,,1403.0000047289457,,1410.5408325114859,,,
2020-04-15,69392.0,1518.0,67998.15044515926,,69543.64171922657,,1518.000004763996,,1525.235049736777,,,
2020-04-16,74193.0,1643.0,72484.00955760146,,74336.4892058828,,1643.0000048482202,,1650.1357060019516,,,
2020-04-17,78546.0,1769.0,77692.39656007182,,78691.41728612658,,1769.000003724998,,1775.4101724432649,,,
2020-04-18,82329.0,1890.0,82068.05166425432,,82468.87997038709,,1890.0000043840437,,1895.6286195262987,,,
2020-04-19,86306.0,2017.0,86295.06790013368,,86430.91912670963,,2017.0000431209116,,2021.7611599604998,,,
2020-04-20,90980.0,2140.0,90519.3817759454,,91078.90273563545,,2140.000017395063,,2144.107003207534,,,
2020-04-21,95591.0,2259.0,95071.11293838205,,95659.95209220688,,2259.0000215363707,,2262.319348140527,,,
2020-04-22,98674.0,2376.0,99082.63762312708,,98733.2390061095,,2375.9999807530253,,2378.2917955317125,,,
2020-04-23,101790.0,2491.0,102549.5695681176,,101836.43771994338,,2490.999983115614,,2492.548496773536,,,
2020-04-24,104912.0,2600.0,105944.61239789544,,104960.6880069444,,2599.9999978514597,,2600.0684848248325,,,
2020-04-25,107773.0,2706.0,108543.16207017637,,107803.84520609154,,2706.000001286515,,2704.5321081230263,,,
2020-04-26,110130.0,2805.0,111264.35286075466,,110149.83802222495,,2805.000000881754,,2802.0310660881414,,,
2020-04-27,112261.0,2900.0,113460.87102257054,,112235.69765784297,,2900.000000547055,,2895.371687712874,,,
2020-04-28,114653.0,2992.0,115481.71745122914,,114592.45495261202,,2992.000000489852,,2985.959352444842,,,
2020-04-29,117589.0,3081.0,118334.41095592783,,117463.08774078963,,3081.0000004786825,,3073.8940426676654,,,
2020-04-30,120204.0,3174.0,120122.92581134607,,120016.81150499496,,3174.000000591109,,3166.1628219776985,,,
2020-05-01,122392.0,3258.0,122143.8758065712,,122110.92491153927,,3258.0000003833024,,3249.3421441158207,,,
2020-05-02,124375.0,3336.0,124358.80414878341,,124057.29588729164,,3336.0000003376044,,3326.5382292376653,,,
2020-05-03,126045.0,3397.0,126813.67362690167,,125648.02861186987,,3397.0000001194294,,3386.926428896431,,,
2020-05-04,127659.0,3461.0,128300.99854326382,,127242.38645100239,,3461.000000344399,,3449.795925055341,,,
2020-05-05,129491.0,3520.0,129509.54589282542,,129029.73212337625,,3520.0000002849656,,3508.306331853245,,,
2020-05-06,131744.0,3584.0,131059.90930830334,,131259.35876795417,,3584.000000397424,,3572.312519751661,,,
2020-05-07,133721.0,3641.0,132121.1553778548,,133217.5223976548,,3641.000000246364,,3629.2852351348342,,,
2020-05-08,135569.0,3689.0,133752.83207075647,,135070.99358481995,,3689.0000001391786,,3677.606306718175,,,
2020-05-09,137115.0,3739.0,135217.95966924133,,136629.50464854419,,3739.0000002619017,,3728.070973825481,,,
2020-05-10,138657.0,3786.0,136814.71389476472,,138204.69251527695,,3786.000000225051,,3774.8305592018623,,,
2020-05-11,139771.0,3841.0,139523.5980970184,,139325.45846414258,,3841.000000364487,,3829.7522003553245,,,
2020-05-12,141475.0,3894.0,140685.34003848562,,141035.21599444942,,3894.0000002742295,,3883.286491492682,,,
2020-05-13,143114.0,3952.0,142119.05797519482,,142676.71180479642,,3952.000000338229,,3941.3917201070726,,,
2020-05-14,144749.0,4007.0,143879.85010101704,,144294.2430257168,,4006.999996914457,,3997.027883634007,,,
2020-05-15,146457.0,4055.0,146053.20033769766,,146039.37831517713,,4054.999962970938,,4045.864133020676,,146039.5465132323,
2020-05-16,148067.0,4096.0,147344.84697579846,,147664.7812671016,,4096.000052533937,,4086.709817128071,,147426.0441721836,4102.292369334121
2020-05-17,149435.0,4140.0,148490.6960348583,,149098.02395813796,,4140.000041747447,,4130.918774342271,,148735.9491414632,4147.712720044098
2020-05-18,150593.0,4171.0,149999.13205372804,,150291.6687784371,,4171.00016561941,,4162.189947753567,,149981.04144952144,4196.5517879913095
2020-05-19,151615.0,4199.0,150678.73411618854,,151374.26972527546,,4198.999734641254,,4190.320062679408,,150989.44547633413,4245.848420408973
2020-05-20,152587.0,4222.0,151810.04519378569,,152367.27281435824,,4221.995858666477,,4214.069841929731,,151931.9188959974,4297.343422929236
2020-05-21,153548.0,4249.0,152605.40391141758,,153375.17558840453,,4248.988544503894,,4241.762128232119,,152775.74437224295,4348.099749893213
